term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
glad,glad,408,382,0.000274678666354287,11.829967515513797,0,JJ,9,"{'NNP', 'VBP', 'VBN', 'NNS', 'VBZ', 'VBG', 'JJ', 'NN', 'VB'}",176,1.4232114307245438,0.00038521362274182417,0.181820829934141,250.4852118075197,-0.05521915016642779,-0.0714604828945941,0.015978712730832872,-0.004030473281248059,0.005409515135919696,-0.012075465707994726,-0.013304845529240744,-0.021880912637688113,0.0010612866178138503,-0.04238132797920649
manner,manner,353,432,0.00023765090495848852,12.038868484214111,0,NN,2,"{'NN', 'NNP'}",176,1.4232114307245438,0.00029951714342205696,0.1413720916952109,250.4852118075197,0.004366812837307008,0.019140829353670924,0.011247635219713059,-0.010327151791479583,0.03944624396209612,-0.02573289747236701,-0.024469949913353717,0.05582119782126134,0.008099734448040095,-0.012816812582044396
talk,talk,334,454,0.0002248594964763036,12.11868856501124,0,VB,4,"{'NN', 'VB', 'VBP', 'NNP'}",176,1.4232114307245438,0.00032514059130228293,0.15346635909467754,250.4852118075197,-0.038418814048061974,-0.027240776060751738,0.008505542257097449,-0.02161865909459046,0.033126349104615704,-0.036772539399473794,-0.02309957680210531,0.006307633804706867,-0.00819792183932283,-0.010604072658125407
soul,soul,486,323,0.00032719076433378305,11.577580353879512,0,NN,5,"{'NNP', 'NNS', 'JJ', 'NN', 'VB'}",171,1.4647905344759433,0.0004396603235769374,0.20751967272831445,250.47918139538632,-0.08585944479088595,-0.035995680245718746,0.06129522367798969,-0.03411328430545041,0.07438727092028385,-0.06496382745421153,0.028044666042534264,0.010109239718229163,-0.029839389339445466,-9.365199851215505e-05
living,live,318,472,0.0002140877840702531,12.189509902200937,0,NN,4,"{'JJ', 'NN', 'NNP', 'VBG'}",177,1.4150374992788437,0.00033675905673036987,0.15895027477673457,250.46163737235534,-0.008338340997581706,-0.00439656605444453,-0.009215801286803943,0.014598198291583916,0.022672044282995296,0.01338253314677601,-0.00029473044637562396,-0.020076629803702742,0.0011563598505691594,-0.014750491265981852
freedom,freedom,452,351,0.0003043008754709258,11.682213895070104,0,NN,6,"{'NNP', 'VBP', 'RB', 'JJ', 'NN', 'VB'}",177,1.4150374992788437,0.0005100756513515289,0.24075570743792166,250.46163737235534,0.01217056046517939,0.08913449219336546,0.02082800736826227,0.043964497283842045,0.025678448959425282,0.00852847941615148,-0.03690886833966556,-0.08838939583009897,-0.0006694944315603912,-0.06287934954387445
business,busi,493,321,0.00033190338851143015,11.55694902110738,0,NN,2,"{'NN', 'NNP'}",177,1.4150374992788437,0.0004684359159919118,0.22110175234818236,250.46163737235534,0.028244550489522447,-0.02555549777576456,-0.025740003436972077,-0.04853119816924094,0.004636963869782275,0.020124493945144914,-0.05709104728563397,-0.007534668578492373,-0.016949864449435637,-0.010072501660042067
dear,dear,483,328,0.0003251710682576486,11.586513478649518,0,JJ,7,"{'NNP', 'VBP', 'RB', 'IN', 'JJ', 'NN', 'VB'}",170,1.4732521132241394,0.00043433113820619756,0.20500429723332525,250.4528592481037,-0.06956790638510849,-0.07825889976298597,0.03518430158668162,-0.002710406903209019,0.04386385855507684,-0.07315219532673331,0.032313699017848016,-0.07180631765927556,0.011077575327670786,-0.035836238818091115
possible,possibl,307,491,0.0002066822317910934,12.240298012115113,0,JJ,2,"{'JJ', 'NN'}",178,1.4069096183954435,0.0002814531076391559,0.13284586680568158,250.42991207438894,0.012657895730651899,-0.0011019171519526115,-0.000855115806376191,0.001341557368980565,-0.01322271278480848,0.0015992789203211413,-0.031128419168640425,0.02008317537247578,0.006953108754809589,-0.029156454107324925
show,show,296,508,0.00019927667951193372,12.292939491856343,0,VB,5,"{'NNP', 'VBP', 'JJ', 'NN', 'VB'}",169,1.481763613079657,0.0002872640988701194,0.13558865466669637,250.41805061046202,0.015750319248977098,-0.0016600045024781794,0.00667185301184315,-0.024545385621818707,0.010886929891409944,0.013773168306652374,-0.01569625888972237,0.008832329261293126,0.0029133457825891024,-0.022554576432254086
door,door,413,377,0.0002780448264811778,11.812394886065848,0,NN,4,"{'VB', 'NN', 'NNP', 'JJ'}",179,1.3988272720975847,0.0003837221395049699,0.1811168498463458,250.39008170546768,-0.06236525333456241,-0.012915158350035299,-0.005442847767167296,-0.013860660395665993,0.004613468776675232,-0.01875965350659002,-0.04284173872799883,0.02349063164539994,0.010443764100205144,-0.031055905874716818
service,servic,386,399,0.0002598675617959676,11.909935820217212,0,NN,3,"{'VB', 'NN', 'NNP'}",168,1.4903256265830809,0.0003434418489697208,0.16210455271370822,250.37470526595757,0.010892231320468373,-0.045473524457765625,0.03774859105399409,0.028479284179538412,0.0071318375677202565,0.0406744613723279,0.001038773536171357,0.006874432107060513,-0.03714990266268786,-0.04503732729487739
ask,ask,342,444,0.00023024535267932882,12.084540342599395,0,VB,7,"{'NNP', 'VBP', 'VBZ', 'IN', 'JJ', 'VB', 'NN'}",168,1.4903256265830809,0.00030087937152862795,0.1420150633615124,250.37470526595757,-0.03160960026873348,-0.03212806285975529,0.017812425364341966,-0.038830568139264256,0.037244427964804726,-0.007313625995764584,-0.01202231268676957,0.001299989379659694,0.015833778020771377,-0.02956466058621751
experience,experi,342,444,0.00023024535267932882,12.084540342599395,0,NN,6,"{'NNP', 'VBP', 'VBN', 'JJ', 'NN', 'VB'}",168,1.4903256265830809,0.0003483959866513684,0.1644429056994459,250.37470526595757,-0.01510843038517747,-0.05781678457872801,0.01799826659185074,0.003550849156463138,0.006678762397852059,0.0059053638400165896,0.03692432521094669,0.00148905494896992,0.016778660397364448,-0.03149884644943274
opportunity,opportun,335,453,0.00022553272850168174,12.114375572140158,0,NN,2,"{'NN', 'NNP'}",168,1.4903256265830809,0.00034750593506559707,0.1640228013509618,250.37470526595757,0.023784218541578438,-0.010083661798107213,-0.021431930517622884,-0.00542912471630307,0.011120589840761592,-0.01304998119393835,-0.018101390494039533,-0.010193456984051379,-0.00349615909737043,-0.03946618061273881
