term_str,n,rank,p,i
every,1506,124,0.0010138874302195006,9.945886802813364
down,1489,125,0.001002442485788072,9.962264818903192
years,1475,126,0.0009930172374327778,9.975893618348726
way,1472,127,0.0009909975413566433,9.97883090142828
home,1470,128,0.000989651077305887,9.980792417761565
night,1467,129,0.0009876313812297525,9.983739701811903
like,1404,130,0.0009452177636309288,10.047065637180731
here,1398,131,0.0009411783714786599,10.053244212109856
life,1387,132,0.0009337728191995001,10.06464078516169
am,1374,133,0.0009250208028695842,10.078226568667192
must,1369,134,0.0009216546427426934,10.083486126227392
colored,1356,135,0.0009129026264127774,10.097251394348948
take,1315,136,0.000885300113372273,10.141545773305628
make,1313,137,0.0008839536493215167,10.143741656592406
master,1310,138,0.0008819339532453823,10.14704176106048
may,1307,139,0.0008799142571692478,10.15034943168986
house,1302,140,0.0008765480970423571,10.155879124319657
through,1296,141,0.0008725087048900882,10.162542854600668
just,1294,142,0.0008711622408393319,10.164770955492784
place,1293,143,0.0008704890088139537,10.165886297675037
found,1283,144,0.0008637566885601721,10.17708740239561
own,1240,145,0.0008348077114689115,10.226268452211055
give,1233,146,0.0008300950872912644,10.234435773082453
school,1226,147,0.0008253824631136174,10.24264959379451
negro,1215,148,0.0008179769108344577,10.255652258992148
seemed,1183,149,0.0007964334860223567,10.294158499145503
being,1182,150,0.0007957602539969786,10.29537853730776
took,1168,151,0.0007863350056416844,10.312568298605274
new,1165,152,0.0007843153095655499,10.31627861794365
brother,1163,153,0.0007829688455147936,10.318757476012074
asked,1160,154,0.0007809491494386591,10.322483767470358
mother,1150,155,0.0007742168291848775,10.334974711653555
country,1107,156,0.000745267852093617,10.38995335070374
saw,1102,157,0.0007419016919667262,10.396484348914134
young,1100,158,0.0007405552279159699,10.39910504907327
ever,1095,159,0.0007371890677890791,10.405677702996757
away,1092,160,0.0007351693717129446,10.40963571656544
race,1091,161,0.0007344961396875665,10.410957471161685
myself,1083,162,0.0007291102834845412,10.421575329876966
three,1077,163,0.0007250708913322723,10.429590322941085
think,1068,164,0.000719011803103869,10.441696925797737
oh,1068,164,0.000719011803103869,10.441696925797737
back,1060,166,0.0007136259469008437,10.45254430803473
without,1053,167,0.0007089133227231966,10.462103136459575
among,1038,168,0.0006988148423425243,10.482802129127412
meeting,1036,169,0.0006974683782917679,10.485584569798739
shall,1032,170,0.0006947754501902554,10.491165602062038
long,1027,171,0.0006914092900633646,10.498172391167097
few,1019,172,0.0006860234338603394,10.509454521319478
heard,1013,173,0.0006819840417080704,10.517974398684155
gave,1010,174,0.000679964345631936,10.522253279846135
right,1003,175,0.0006752517214542889,10.532286966873112
done,995,176,0.0006698658652512636,10.54384014205428
same,992,177,0.0006678461691751292,10.548196547098417
too,989,178,0.0006658264730989948,10.552566146726182
children,985,179,0.0006631335449974821,10.558412943141553
mrs,984,180,0.000662460312972104,10.559878352146052
morning,966,181,0.0006503421365152972,10.586513478649518
miss,964,182,0.0006489956724645408,10.589503521255331
south,959,183,0.0006456295123376501,10.597005852467161
large,959,183,0.0006456295123376501,10.597005852467161
called,954,185,0.0006422633522107594,10.604547401479781
heart,953,186,0.0006415901201853812,10.60606045357535
soon,951,187,0.0006402436561346249,10.609091326624728
off,936,188,0.0006301451757539525,10.632028137901887
put,935,189,0.0006294719437285744,10.633570302710293
let,934,190,0.0006287987117031962,10.63511411777563
going,930,191,0.0006261057836016836,10.6413059514899
days,915,192,0.0006160073032210114,10.664764924313888
felt,913,193,0.000614660839170255,10.66792180750107
another,911,194,0.0006133143751194987,10.67108561368324
under,905,195,0.0006092749829672298,10.680618875514725
again,905,195,0.0006092749829672298,10.680618875514725
knew,892,197,0.0006005229666373137,10.701492957564987
until,888,198,0.0005978300385358011,10.707976991135187
left,888,198,0.0005978300385358011,10.707976991135187
poor,887,200,0.000597156806510423,10.709602563184228
part,885,201,0.0005958103424596666,10.712859212514932
during,869,202,0.0005850386300536162,10.739180490670892
also,865,203,0.0005823457019521036,10.745836534961205
because,858,204,0.0005776330777744565,10.757559019985747
might,852,205,0.0005735936856221876,10.767683237259455
city,851,206,0.0005729204535968094,10.769377535799329
help,846,207,0.0005695542934699186,10.777879004365342
father,845,208,0.0005688810614445405,10.779585326315745
always,844,209,0.0005682078294191623,10.781293668778106
slaves,843,210,0.0005675345973937841,10.78300403654321
himself,839,211,0.0005648416692922715,10.78986585704547
yet,835,212,0.000562148741190759,10.796760470123878
friends,826,213,0.0005560896529623556,10.812394886065848
though,822,214,0.000553396724860843,10.819398273803609
others,815,215,0.0005486841006831959,10.831736608366853
general,804,216,0.0005412785484040361,10.851341166306364
best,800,217,0.0005385856203025235,10.858536667710567
better,798,218,0.0005372391562517673,10.862147921262947
nothing,797,219,0.0005365659242263891,10.86395694349482
whom,795,220,0.0005352194601756328,10.867581807313574
money,792,221,0.0005331997640994983,10.873036237405682
began,792,221,0.0005331997640994983,10.873036237405682
even,791,223,0.0005325265320741202,10.8748589730125
last,790,224,0.000531853300048742,10.876684014420826
next,785,225,0.0005284871399218512,10.885844013706302
kind,783,226,0.0005271406758710949,10.889524360194251
having,774,227,0.0005210815876426915,10.906203101340882
tell,753,228,0.0005069437151097503,10.945886802813364
several,747,229,0.0005029043229574814,10.957428424696054
year,741,230,0.0004988649308052124,10.969063125179458
things,736,231,0.0004954987706783216,10.97883090142828
still,730,232,0.0004914593785260527,10.990640203717913
thing,727,233,0.0004894396824499182,10.996581303565698
slave,721,234,0.00048540029029764934,11.00853740824447
sent,717,235,0.0004827073621961367,11.016563548783388
name,701,236,0.00047193564979008625,11.049122223474669
free,700,237,0.0004712624177647081,11.051181745652963
given,698,238,0.0004699159537139518,11.05530963127564
once,695,239,0.0004678962576378173,11.061523689874422
rev,694,240,0.00046722302561243915,11.063601004907031
black,690,241,0.0004645300975109266,11.07194030581976
hundred,689,242,0.0004638568654855484,11.074032684781
course,685,243,0.0004611639373840358,11.082432679637403
slavery,680,244,0.000457797777257145,11.093001921347591
state,676,245,0.0004551048491556324,11.101513421203109
find,673,246,0.0004530851530794979,11.107930162874975
received,665,247,0.0004476992968764727,11.12518232709674
against,664,248,0.00044702606485109455,11.127353426138367
want,657,249,0.00044231344067344744,11.142643297162962
wife,656,250,0.0004416402086480693,11.144840852867208
each,655,251,0.00044096697662269113,11.14704176106048
far,655,251,0.00044096697662269113,11.14704176106048
both,635,253,0.00042750233611512804,11.191780075825765
speak,634,254,0.0004268291040897499,11.194053827345884
dollars,631,255,0.00042480940801361547,11.200896662502743
believe,630,256,0.0004241361759882373,11.203184839098013
mind,629,257,0.00042346294396285915,11.205476650606004
enough,624,258,0.00042009678383596837,11.216990638623043
hands,624,258,0.00042009678383596837,11.216990638623043
often,623,260,0.0004194235518105902,11.21930450446129
sister,622,261,0.00041875031978521205,11.22162208735469
number,620,262,0.00041740385573445574,11.226268452211055
family,618,263,0.0004160573916836994,11.230929829580917
hand,607,264,0.00040865183940453975,11.25684015122961
bishop,600,265,0.00040393921522689265,11.27357416698941
toussaint,600,265,0.00040393921522689265,11.27357416698941
west,596,267,0.00040124628712538,11.28322433702313
spirit,581,268,0.0003911478067447077,11.319998504080763
why,581,268,0.0003911478067447077,11.319998504080763
almost,579,270,0.0003898013426939514,11.324973319496056
wanted,579,270,0.0003898013426939514,11.324973319496056
states,578,272,0.00038912811066857324,11.327467174984614
seen,578,272,0.00038912811066857324,11.327467174984614
since,578,272,0.00038912811066857324,11.327467174984614
room,577,275,0.0003884548786431951,11.32996534883981
however,577,275,0.0003884548786431951,11.32996534883981
yes,576,277,0.00038778164661781693,11.33246785604298
anything,575,278,0.00038710841459243877,11.334974711653555
conference,571,279,0.0003844154864909262,11.34504592212245
read,571,279,0.0003844154864909262,11.34504592212245
near,571,279,0.0003844154864909262,11.34504592212245
quite,569,282,0.0003830690224401699,11.35010801517871
themselves,567,283,0.00038172255838941357,11.355187932543064
miles,565,284,0.00038037609433865725,11.360285800182742
held,560,285,0.00037700993421176647,11.373109840540327
true,560,285,0.00037700993421176647,11.373109840540327
look,559,287,0.0003763367021863883,11.375688384642102
power,558,288,0.00037566347016101015,11.378271545656105
love,557,289,0.000374990238135632,11.38085934014526
four,557,289,0.000374990238135632,11.38085934014526
taken,554,291,0.0003729705420594976,11.388650691436103
something,551,292,0.0003709508459833631,11.396484348914134
woman,545,293,0.00036691145383109416,11.412280437821003
word,543,294,0.00036556498978033785,11.41758446968093
looked,540,295,0.0003635452937042034,11.425577260434462
present,540,295,0.0003635452937042034,11.425577260434462
