term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,nrc_sentiment,syu_sentiment
love,love,557,289,0.000374990238135632,11.38085934014526,0,NN,9,"{'NNP', 'JJR', 'NN', 'VBN', 'VBD', 'VBP', 'RBR', 'VB', 'RB'}",208,1.1822033312207492,0.0005420003106713412,0.2558241466368731,245.89829289391582,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
word,word,543,294,0.00036556498978033785,11.41758446968093,0,NN,3,"{'WRB', 'NNP', 'NN'}",231,1.0308940079457838,0.00038588567123246223,0.18213803682172217,238.13651583547605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
present,present,540,295,0.0003635452937042034,11.425577260434462,0,JJ,6,"{'NNP', 'NN', 'VBN', 'VBP', 'VB', 'JJ'}",229,1.0434392612648973,0.0003492537389763837,0.16484776479685312,238.94759082966146,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25
words,word,533,302,0.00035883266952655633,11.444401134726116,0,NNS,2,"{'NNS', 'NNP'}",241,0.9697537131318796,0.00032411342585420466,0.1529815370031846,233.71064486478298,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,
death,death,521,305,0.00035075388522201844,11.477253295206785,0,NN,4,"{'NNP', 'JJ', 'VB', 'NN'}",205,1.2031629498563952,0.00044190129849714467,0.2085774128906523,246.64840472056102,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,-0.75
friend,friend,512,308,0.0003446947969936151,11.502392857485292,0,NN,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",223,1.0817431494415364,0.00039328537283130267,0.18563069597637485,241.2287223254626,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8
john,john,498,319,0.0003352695486383209,11.54239092541721,0,NNP,1,{'NNP'},159,1.5697600940774858,0.0004704562618309459,0.22205535558420644,249.59185495832025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,
pray,pray,485,325,0.0003265175323084049,11.580551920410802,0,VB,9,"{'NNS', 'NNP', 'NN', 'VBP', 'VBZ', 'VB', 'RB', 'JJ', 'CC'}",151,1.6442383100367624,0.0005071980422299043,0.2393974759325148,248.2799848155511,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1
dear,dear,483,328,0.0003251710682576486,11.586513478649518,0,JJ,7,"{'NNP', 'NN', 'VBP', 'IN', 'VB', 'RB', 'JJ'}",170,1.4732521132241394,0.00043433113820619756,0.20500429723332525,250.4528592481037,,,,,,,,,,,,0.5
war,war,483,328,0.0003251710682576486,11.586513478649518,0,NN,3,"{'NNP', 'JJ', 'NN'}",148,1.6731896837328915,0.0005350988437083778,0.25256665423035435,247.63207319246794,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5
leave,leav,468,339,0.0003150725878769763,11.632028137901887,0,VB,6,"{'NNP', 'JJR', 'NN', 'VBP', 'VB', 'JJ'}",214,1.1411760629606942,0.00033634082073215446,0.1587528673855769,244.21167747358857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,-0.25
interest,interest,468,339,0.0003150725878769763,11.632028137901887,0,NN,2,"{'NNP', 'NN'}",208,1.1822033312207492,0.00039833722487941724,0.18801517014308494,245.89829289391582,,,,,,,,,,,,0.5
freedom,freedom,452,351,0.0003043008754709258,11.682213895070104,0,NN,6,"{'NNP', 'NN', 'VBP', 'VB', 'RB', 'JJ'}",177,1.4150374992788437,0.0005100756513515289,0.24075570743792166,250.46163737235534,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75
hard,hard,450,352,0.0003029544114201695,11.688611666268255,0,JJ,6,"{'NNP', 'NN', 'VBP', 'VB', 'RB', 'JJ'}",214,1.1411760629606942,0.000374336991648525,0.17668706005810378,244.21167747358857,,,,,,,,,,,,-0.25
public,public,437,359,0.0002942023950902535,11.730903387984693,0,JJ,3,"{'NNP', 'JJ', 'NN'}",166,1.5076036180149164,0.00042545120237011847,0.20081296751869593,250.2622005904761,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,
hope,hope,431,362,0.00029016300293798457,11.750848798396195,0,NN,5,"{'NNP', 'NN', 'VBN', 'VBP', 'VB'}",207,1.189156091862516,0.0003252339481300629,0.1535104235173897,246.1553110155408,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
pay,pay,431,362,0.00029016300293798457,11.750848798396195,0,VB,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",200,1.2387868595871165,0.00038319778629763003,0.18086935513248137,247.7573719174233,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.1
visit,visit,429,365,0.00028881653888722825,11.757559019985747,0,NN,9,"{'NNS', 'NNP', 'NN', 'VBP', 'VBZ', 'IN', 'FW', 'VB', 'JJ'}",174,1.4396995535131127,0.0004080206220938605,0.19258573362830217,250.5077223112816,,,,,,,,,,,,0.4
