term_str,doc_count,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
administration,25,13.766109325521443,7.326373012795026,0.2735884737262623,0.05,0.6624082974680675,17.829603707490683,0.05000000004705646,0.050000000088682654,0.05000000172731669,0.05000000042100919,1.1068779848697063,0.05000000003824071,6.612846465944678,0.05000000014145224,7.822192727842042,0.05000000013805936,0.05000000001101502,0.050000000336225675,0.05000000113886084,0.05000000021364534
admiration,36,17.514204137929084,0.05000000029371833,0.05000000190517274,0.05000000133065378,0.050000000164118985,0.05000000024611757,0.050000000052576946,4.208647653094321,0.05000000028187614,0.05000000241671831,12.203845226417572,1.0412920249771194,10.282010944283991,0.05000000062387081,0.05000000121205066,0.05000000070069796,0.05000000038826429,0.050000000135032314,0.050000003502485624,0.05
admission,28,4.0924508880101484,0.05000000153422003,2.379490597682085,0.05,5.393599147840844,0.050000000609581714,0.05,16.49464182342146,0.05000000053273968,0.05000000130964878,1.5257153570640984,0.050000000743070774,0.05000000074665446,0.0500000001454162,0.05000000049145107,0.050000001593408935,0.05000000001330034,0.050000000031620515,15.414102178191387,0.05
admittance,11,3.730389359840532,0.05000000090068081,0.050000000369270506,0.05,0.05000000026436524,0.05000000052099513,0.05722724790382509,3.5950090133006913,0.05,0.05000000522035527,5.817374364233528,0.05000000064462647,0.05000000176133045,0.05000000079511877,0.05000000064492814,0.05,0.05000000046352537,0.05000000116632406,0.05000000192076356,0.05
adoption,10,0.050000002220961466,0.05000000038682818,0.050000000524122436,0.05,0.05000000127949127,2.248012185646623,0.05,4.168473414738454,0.05,0.05000000159043291,0.050000000869067036,0.05000000007831999,0.05000000036498291,0.0500000000943888,1.050000000056173,0.05,0.050000001907548663,0.05000000129418899,3.733514388908856,0.05
advance,35,5.939657965556482,0.050000000617636126,0.050000000686461606,0.05000000004978013,0.050000000524027054,0.050000000460612586,0.05,3.7114893653673535,0.050000001083073634,0.05000000040529984,3.233343335075061,4.824328484780684,15.435122467640145,0.0500000004018183,0.05000000144499319,0.05,0.05,0.05000000104958345,11.156058374814107,0.05
advancement,21,13.165400930221908,0.0500000001838495,0.050000000752873766,0.05,0.05000000027271643,0.0500000008184581,0.05,0.050000000081692204,0.05000000013581346,0.05000000053668199,3.2522316131543754,0.05,0.05000000051060384,0.050000001027228444,0.05000000048483864,0.05,0.05,0.05000000023840225,11.73236744929583,0.05000000225624365
advances,7,2.1488373076041154,0.05,0.050000001090856,0.05,0.05,0.05000000259768376,0.05,0.05000012027015072,0.05000000001124391,0.05000000007468131,2.9004434945655757,0.05,1.41220577144317,0.05000000217804646,0.05,0.05,0.05000000053079982,0.05,1.7385132995929007,0.05
advantage,68,2.0344123863132704,4.9977925192168025,8.322016451736555,1.0701082180403398,7.491389248792833,0.050000000065419,0.05000000027525715,14.268164148916897,0.05000000143904547,0.0500000018324335,7.149176276790094,0.05000000059842876,9.365149537002873,2.1356930466971304,6.110462101304518,0.05,0.05000000011183845,0.05000000160734891,27.60563605920566,0.05
advantages,46,9.986874482737235,8.949883901747999,0.05000000229332626,0.050000000101613026,0.050000000517813385,0.7971223043742192,0.05000000002035906,6.212877453879111,0.05000000136347876,10.846747772162871,4.551059198293953,0.05000000114355078,9.89099026858464,2.1325308165796684,2.2707231073350744,0.05000000037462987,0.050000000094856265,1.3384044277223326,8.572786260462863,0.05000000015833915
