topic_id,0,1,2,3,4,5,6,7,8,9,label,doc_weight_sum,term_freq,Amanda  Smith,Booker T. Washington,Emma J. Ray,Francis  Frederick,Henry Ossian Flipper,Israel  Campbell,J. R. Beard,James Lindsay Smith,Josiah  Henson,Kate  Drumgoold,M. F. Jamison,M. L. Latta,Martha Griffith Browne,Nicholas  Said,Peter  Randolph,Sam  Aleckson,Samuel Ringgold Ward,Thomas William Burton,William H. Heard,author
T10,master,slaves,man,life,eyes,face,heart,slave,time,hand,"T10 master, slaves, man, life, eyes, face, heart, slave, time, hand",75.22730613390019,0.13688542817272076,0.007589295919380529,0.013326338514425481,0.010160289131439394,0.3575078873374339,0.00904408283148542,0.1586932972154767,0.04415288021014166,0.1256832456456193,0.234833601537078,0.0357863450156846,0.010564499863209502,0.021584468105568185,0.812516000445735,0.022887822602679738,0.228460364458961,0.22925018286024976,0.10586133740924329,0.08050317002361776,0.060860573538913346,Martha Griffith Browne
T11,master,time,slaves,country,man,journey,men,day,number,slave,"T11 master, time, slaves, country, man, journey, men, day, number, slave",18.785313849792296,0.023379080985042842,0.002975969437683171,0.002028203983502589,0.008532013109330517,0.15059640312192915,0.014349701514531299,0.07970546958748657,0.005191772001219619,0.09743491210606602,0.09059195413517036,0.00011036312298946316,0.00012376393805027639,0.004531027961366158,0.00011832683784694367,0.40720380909688075,0.03686340953101385,0.010344652859482885,0.024768270741262352,0.01563831960020765,0.0038110008263559855,Nicholas  Said
T12,men,man,time,war,country,place,order,day,army,letter,"T12 men, man, time, war, country, place, order, day, army, letter",24.868503211522636,0.08049318089401608,0.005844898242458777,0.011860489399174367,0.007261688179687,0.007015844059021594,0.01781187449256884,0.01277147025132389,0.4416327923561645,0.15007314734333174,0.0528533456575032,0.00011036312297335468,0.00012376393819460183,0.0013345616656225477,0.009803358972611906,0.21887040113917908,0.043658901695157695,0.044051819220924396,0.04249300272912043,0.0629913027173254,0.017517533403006273,J. R. Beard
T13,mother,time,school,children,day,people,night,family,years,place,"T13 mother, time, school, children, day, people, night, family, years, place",23.37435577954187,0.041091998709915166,0.02745632278106239,0.13906345371111872,0.025154962388295465,0.05401552059722666,0.005144514232921351,0.0344535534846385,7.935721117816601e-05,0.04892711385124845,0.03981097847225542,0.3029105024965289,0.04170271130436736,0.055502301507478834,0.0019161447689886948,0.04934919582161121,0.022430890992373054,0.11304782735302107,0.01599394396604523,0.1043959351575057,0.1857935056175666,Kate  Drumgoold
T14,class,power,colony,order,toussaint,position,constitution,blacks,men,peace,"T14 class, power, colony, order, toussaint, position, constitution, blacks, men, peace",4.304988739004524,0.011031856264225974,0.0002727165912092439,8.66647711076964e-05,0.0015036292339038436,0.00034337991745222237,0.03797129834968547,0.00047844403648686785,0.12884402152139754,0.0038271471304852675,0.00021520018226352892,0.00011036312197725245,0.0001237639380100787,0.0012108681581732901,0.0027700069171155994,0.00018686770246199844,0.0002422524831460961,0.00029490625095939167,0.006430517190804875,0.00020474752540270658,0.00037367092671678436,J. R. Beard
T15,city,parishes,time,north,value,island,slaves,country,child,west,"T15 city, parishes, time, north, value, island, slaves, country, child, west",4.283052660326707,0.007588949187932432,7.757199643785613e-05,8.666477076289234e-05,0.0020614708987121712,0.00880124918560218,0.00010850635664314566,0.004082068490784092,0.036028162422400783,9.240880182628752e-05,0.0020499565032195844,0.00011036312235781663,0.00012376393780401962,0.005161833458584398,0.03459415348075169,0.0436516376056881,0.00024225248294231587,0.0002949062511638085,0.03162250232789829,0.00020474752488954586,0.00415993243975191,Nicholas  Said
T16,baptism,faith,city,denomination,stranger,man,people,brethren,day,men,"T16 baptism, faith, city, denomination, stranger, man, people, brethren, day, men",6.032281011768071,0.015243957759131703,0.0167776140056357,8.666477104114347e-05,0.04334683489196475,0.01369436926914777,0.00010850635702931598,0.0016919241140703279,7.935721088399338e-05,9.240880207535405e-05,0.00043464113392266114,0.00011036312265425822,0.10574521194862134,0.003522041107709506,0.0014455043901581953,0.004412906842160978,0.0024165248338613335,0.00029490625182230525,0.032654417472988,0.00020474752568458527,0.0003736709288860492,M. F. Jamison
T17,time,man,night,day,house,home,mother,morning,place,children,"T17 time, man, night, day, house, home, mother, morning, place, children",59.636087879091576,0.11293929276377891,0.18855946946336272,0.01848884192989792,0.39136975637208,0.13300686575248719,0.008032749746960423,0.4332490235449606,7.935721110274856e-05,0.22414511528441994,0.08668385556285498,0.018333608422678855,0.12751095291957776,0.05341604511904033,0.01920820790401717,0.02745515364808374,0.05096494431738626,0.20146396968732772,0.03148363698363577,0.13097557451348418,0.14642057561789576,Israel  Campbell
T18,people,man,time,race,country,years,work,meeting,address,men,"T18 people, man, time, race, country, years, work, meeting, address, men",51.332407614423104,0.12517281261346763,0.017823544553198303,0.34585952818646204,0.004057626623680082,0.05157949213663686,0.01671406408252734,0.030008369221519452,0.02028008517198226,0.109099948872682,0.13583780697624384,0.00011036312261978057,0.016437535653178657,0.13082726962977106,0.02645755281663766,0.12924464506969413,0.24733640790693728,0.08558290768233849,0.35104116475838243,0.025876673369179017,0.08262030264640309,Samuel Ringgold Ward
T19,city,people,time,ladies,brethren,prejudice,problem,life,minutes,gentleman,"T19 city, people, time, ladies, brethren, prejudice, problem, life, minutes, gentleman",4.199415314662775,0.005889348840958423,0.0002811727653092576,8.666477077544333e-05,0.009886959988042126,0.0003433799184490669,0.0001085063564289817,0.005974231383167377,7.93572108198796e-05,9.240880156132434e-05,0.00021520018205775,0.00011036312216342801,0.0001237639379956424,0.01649626592813751,0.0007456441355100675,0.03160435604176453,0.015910946610277928,0.11945023360389058,0.00011374658900553967,0.00020474752443074194,0.006640792107261423,Sam  Aleckson
